# N2 enrichment batch 10 (901~1000)
～でありながらも	～でありながらも	~이면서도	문법		学生でありながらも会社を経営する。	학생이면서도 회사를 경영한다.	忙しい身でありながらも参加した。	바쁜 몸이면서도 참가했다.
～みたいだ	～みたいだ	~인 것 같다	문법		明日は雨が降るみたいだ。	내일은 비가 올 것 같다.	彼は風邪をひいているみたいだ。	그는 감기에 걸린 것 같다.
とても～ない	とてもない	정말이지 ~않다	문법		とても信じられない話だ。	정말이지 믿을 수 없는 이야기다.	とても食べきれない量だ。	정말이지 다 먹을 수 없는 양이다.
必ずしも～わけではない	かならずしもわけではない	반드시 ~한 것은 아니다	문법		高ければ必ずしも良いわけではない。	비싸다고 해서 반드시 좋은 것은 아니다.	努力すれば必ずしも成功するわけではない。	노력한다고 반드시 성공하는 것은 아니다.
～ようがない	～ようがない	~할 방도가 없다	문법		連絡先がないので連絡しようがない。	연락처가 없어 연락할 방도가 없다.	逃げようがない状況だ。	도망갈 방도가 없는 상황이다.
申し上げる	もうしあげる	말씀드리다 <겸양>	동사	겸양어	お願い申し上げます。	부탁드립니다.	心からお礼を申し上げます。	진심으로 감사드립니다.
～ないでしょうか	～ないでしょうか	~아닐까요?, ~아닐런지요	문법		これでよろしいのではないでしょうか。	이걸로 괜찮지 않을까요?	彼が来るのではないでしょうか。	그가 오지 않을까요?
～(さ)せてくれる	～させてくれる	~하게 해 주다	문법		両親が留学させてくれた。	부모님이 유학하게 해 주셨다.	好きなようにやらせてくれた。	좋아하는 대로 하게 해 주었다.
～てほしい	～てほしい	~해 주었으면 좋겠다	문법		もう少し早く来てほしい。	좀 더 빨리 와 줬으면 좋겠다.	話を聞いてほしい。	이야기를 들어 줬으면 좋겠다.
～たばかりだ	～たばかりだ	막 ~한 참이다	문법		今帰ってきたばかりだ。	지금 막 돌아온 참이다.	食べたばかりでお腹がいっぱいだ。	막 먹은 참이라 배가 부르다.
～かどうか	～かどうか	~인지 어떤지	문법		本当かどうか確認する。	정말인지 어떤지 확인한다.	行くかどうか迷っている。	갈지 말지 망설이고 있다.
～とか	～とか	~라든가, ~라는 식으로	문법		映画とか食事に行こう。	영화라든가 식사하러 가자.	忙しいとか言ってばかりだ。	바쁘다든가 말만 한다.
～すえに	～すえに	~한 끝에	문법		長い議論のすえに決まった。	긴 논의 끝에 결정되었다.	悩んだすえに転職した。	고민한 끝에 전직했다.
～(さ)せられる	～させられる	본의 아니게 ~하게 되다 <사역 수동>	문법		毎日宿題をやらされる。	매일 숙제를 하게 된다.	先輩に飲まされた。	선배에게 술을 마시게 됐다.
～まい	～まい	~하지 않겠다, ~하지 않을 것이다	문법		二度と失敗するまい。	두 번 다시 실패하지 않겠다.	彼は来るまい。	그는 오지 않을 것이다.
	まいる	오다, 가다 <겸양>	동사	겸양어	私が参ります。	제가 가겠습니다.	明日お宅にまいります。	내일 댁으로 가겠습니다.
	むしろ	오히려, 차라리	부사	관용 부사	むしろ感謝している。	오히려 감사하고 있다.	むしろ反対だと思う。	차라리 반대라고 생각한다.
～になっているだろう	～になっているだろう	~이 되어 있을 것이다	문법		明日には完成になっているだろう。	내일이면 완성되어 있을 것이다.	将来は専門家になっているだろう。	장래에는 전문가가 되어 있을 것이다.
～ても～なくても	～てもなくても	~해도 ~하지 않아도	문법		参加してもしなくても自由だ。	참가해도 안 해도 자유다.	行っても行かなくても結果は同じだ。	가도 안 가도 결과는 같다.
～すぎず	～すぎず	너무 ~하지 말고	문법		食べすぎず適量を心がける。	너무 먹지 말고 적당량을 신경 쓴다.	急ぎすぎず慎重に進める。	너무 서두르지 말고 신중히 진행한다.
～でしかない	～でしかない	~밖에 되지 않다, ~에 불과하다	문법		それは言い訳でしかない。	그것은 변명에 불과하다.	彼はただの友人でしかない。	그는 그저 친구에 불과하다.
～わけがない	～わけがない	~할 리가 없다	문법		彼が嘘をつくわけがない。	그가 거짓말할 리가 없다.	そんなに簡単なわけがない。	그렇게 간단할 리가 없다.
～くらいだ	～くらいだ	~정도다	문법		泣きたいくらいだ。	울고 싶을 정도다.	信じられないくらいだ。	믿기 힘들 정도다.
～もの	～もの	~나 되는	문법		千人ものファンが集まった。	천 명이나 되는 팬이 모였다.	十時間ものフライトだった。	열 시간이나 되는 비행이었다.
～すら	～すら	~조차	문법		水すら飲めない状態だ。	물조차 마시지 못하는 상태다.	名前すら知らない。	이름조차 모른다.
～くらい	～くらい	~정도	문법		三十分くらいかかる。	30분 정도 걸린다.	子供くらいの体力だ。	아이 정도의 체력이다.
	どうも	아무래도, 어쩐지	부사	관용 부사	どうも調子が悪い。	아무래도 컨디션이 안 좋다.	どうも納得できない。	어쩐지 납득이 안 된다.
～にこたえて	～にこたえて	~에 부응하여	문법		ファンの声援にこたえて頑張る。	팬의 성원에 부응해 노력한다.	要望にこたえて改良した。	요청에 부응해 개량했다.
～うちに	～うちに	~하는 사이에	문법		明るいうちに帰ろう。	밝을 때 돌아가자.	若いうちに挑戦したい。	젊을 때 도전하고 싶다.
～によらず	～によらず	~에 관계없이	문법		年齢によらず歓迎する。	연령에 관계없이 환영한다.	場所によらず参加できる。	장소에 관계없이 참가할 수 있다.
～ないでもない	～ないでもない	~않는 것도 아니다	문법		わからないでもない気持ちだ。	모르는 것도 아닌 마음이다.	行きたくないでもない。	가고 싶지 않은 것도 아니다.
～とかなくちゃ	～とかなくちゃ	~해 두지 않으면 <축약>	문법		連絡しとかなくちゃいけない。	연락해 두지 않으면 안 된다.	準備しとかなくちゃ間に合わない。	준비해 두지 않으면 늦는다.
～たら～たで	～たらたで	~하면 ~하는 대로	문법		大変だったら大変だで頑張る。	힘들면 힘든 대로 노력한다.	なかったらないで何とかなる。	없으면 없는 대로 어떻게든 된다.
～ざるをえない	～ざるをえない	~하지 않을 수 없다	문법		結果を受け入れざるをえない。	결과를 받아들이지 않을 수 없다.	出席せざるをえない事情がある。	출석하지 않을 수 없는 사정이 있다.
お～ですか	おですか	~하십니까? <존경>	문법		お休みですか。	쉬십니까?	お探しですか。	찾으십니까?
～も～ないで	～もないで	~도 ~하지 않고	문법		食事もとらないで働き続けた。	식사도 안 하고 일을 계속했다.	返事もしないで帰った。	대답도 안 하고 돌아갔다.
～をとわず	～をとわず	~을 불문하고	문법		性別をとわず採用する。	성별을 불문하고 채용한다.	経験の有無をとわず歓迎します。	경험의 유무를 불문하고 환영합니다.
	もっとも	다만, 단 <접속사>	접속사	관용 표현	行きたい。もっとも忙しいけど。	가고 싶다. 단, 바쁘지만.	賛成だ。もっとも条件付きだ。	찬성한다. 단 조건부다.
	わかった	알았다 <감탄>	감탄사	관용 표현	わかった、すぐ行く。	알았어, 바로 갈게.	わかった、約束する。	알았어, 약속할게.
～たってかまわない	～たってかまわない	~해도 상관없다	문법		遅くなったってかまわない。	늦어도 상관없다.	失敗したってかまわない。	실패해도 상관없다.
お越しくださる	おこしくださる	와 주시다	동사	존경어	どうぞお越しください。	부디 와 주십시오.	お越しくださってありがとうございます。	와 주셔서 감사합니다.
～ている	～ている	~했었다 <완료>	문법		もう食べている。	이미 먹었다.	彼はその本を読んでいる。	그는 그 책을 다 읽었다.
～へと	～へと	~으로	문법		未来へと進む。	미래로 나아간다.	新しい時代へと向かう。	새로운 시대로 향한다.
～おかげで	～おかげで	~덕분에	문법		君のおかげで成功した。	네 덕분에 성공했다.	協力のおかげで早く終わった。	협력 덕분에 일찍 끝났다.
	やる	하다 <속어>	동사	관용 동사	宿題をやる。	숙제를 한다.	友達と野球をやる。	친구와 야구를 한다.
～としたら	～としたら	~라고 한다면	문법		もし彼が来るとしたら準備しよう。	만약 그가 온다고 한다면 준비하자.	旅行に行くとしたらどこがいい？	여행을 간다면 어디가 좋아?
～そうだ	～そうだ	~할 것 같다 <양태>	문법		雨が降りそうだ。	비가 올 것 같다.	おいしそうな料理だ。	맛있어 보이는 요리다.
～からこそ	～からこそ	~이기에, ~하기에	문법		君だからこそ頼める。	너이기에 부탁할 수 있다.	努力したからこそ成功した。	노력했기에 성공했다.
～ばかり	～ばかり	~뿐, ~만	문법		遊んでばかりいる。	놀기만 한다.	不平ばかり言う。	불평만 한다.
	かりに	만약	부사	관용 부사	かりに失敗してもやり直せる。	만약 실패해도 다시 할 수 있다.	かりに彼が来たらどうする？	만약 그가 온다면 어떻게 할까?
～ないうちに	～ないうちに	~하기 전에	문법		忘れないうちにメモする。	잊기 전에 메모한다.	雨が降らないうちに帰ろう。	비가 오기 전에 돌아가자.
～ており	～ており	~하고 있어서	문법		彼は会議に出ており不在です。	그는 회의에 나가 있어 부재중입니다.	資料を準備しており時間がかかる。	자료를 준비하고 있어 시간이 걸린다.
～にもかかわらず~	～にもかかわらず	~(임)에도 불구하고	문법		努力したにもかかわらず失敗した。	노력했음에도 실패했다.	雨にもかかわらず出かけた。	비에도 불구하고 외출했다.
～らしい	～らしい	~답다 <접미어>	문법		彼は男らしい人だ。	그는 남자다운 사람이다.	学生らしい服装をする。	학생다운 복장을 한다.
～によっては	～によっては	~에 따라서는	문법		人によっては考え方が違う。	사람에 따라 사고방식이 다르다.	状況によっては変わる。	상황에 따라서는 바뀐다.
～(さ)せる/～たがる	～させるたがる	~하게 하다 <사역> /~하고 싶어하다	문법		子供を勉強させる。	아이를 공부시킨다.	彼は外で遊びたがる。	그는 밖에서 놀고 싶어 한다.
どれだけ～か	どれだけか	얼마나 ~일까?	문법		どれだけうれしいか分からない。	얼마나 기쁜지 모른다.	どれだけ大変か想像してみて。	얼마나 힘든지 상상해 봐.
ご覧	ごらん	보심 <존경>	명사	존경어	ご覧ください。	봐 주십시오.	どうぞご覧の通りです。	보시는 대로입니다.
～(ら)れる	～られる	~하게 되다	문법		この街で多くの人に愛されている。	이 거리는 많은 사람에게 사랑받고 있다.	彼は先生に褒められた。	그는 선생님에게 칭찬받았다.
～ようならば	～ようならば	~할 것 같으면	문법		遅れるようならば連絡してください。	늦을 것 같으면 연락해 주세요.	難しいようならばやめましょう。	어려울 것 같으면 그만둡시다.
～にのぼる	～にのぼる	~에 달하다	문법		被害は数億にのぼる。	피해는 수억에 달한다.	参加者は千人にのぼった。	참가자는 천 명에 달했다.
～てからでないと	～てからでないと	~한 후가 아니면	문법		確認してからでないと進められない。	확인한 후가 아니면 진행할 수 없다.	完成してからでないと見せられない。	완성한 후가 아니면 보여줄 수 없다.
～次第	～しだい	~하는 대로	문법		着き次第ご連絡します。	도착하는 대로 연락드리겠습니다.	完成次第お渡しします。	완성하는 대로 드리겠습니다.
	うけたまわる	받다 <겸양, 겸손>	동사	겸양어	ご注文を承りました。	주문 받았습니다.	お話をうけたまわります。	말씀을 듣겠습니다.
～わけにはいかない	～わけにはいかない	~할 수는 없다	문법		ここで諦めるわけにはいかない。	여기서 포기할 수는 없다.	彼を見捨てるわけにはいかない。	그를 못 본 척할 수는 없다.
～や何かで	～やなにかで	~와 같은 것에서 <예시>	문법		本や何かで調べてみる。	책 같은 것에서 조사해 본다.	映画や何かで気分転換する。	영화 같은 것으로 기분 전환한다.
～のに	～のに	~하는 데에, ~하는 때에	문법		料理を作るのに時間がかかる。	요리를 만드는 데 시간이 걸린다.	行くのにお金が要る。	가는 데 돈이 필요하다.
～たびに	～たびに	~할 때마다	문법		会うたびに元気がもらえる。	만날 때마다 기운을 얻는다.	見るたびに思い出す。	볼 때마다 떠오른다.
～かもしれない	～かもしれない	~일지도 모른다	문법		明日は雨かもしれない。	내일은 비가 올지도 모른다.	彼は来ないかもしれない。	그는 오지 않을지도 모른다.
～さえ～ば	～さえば	~만 ~하면	문법		時間さえあれば行ける。	시간만 있으면 갈 수 있다.	君さえいてくれれば十分だ。	너만 있어 주면 충분하다.
～において	～において	~에 있어서, ~에서	문법		会議は東京においで開催する。	회의는 도쿄에서 개최한다.	人生において大切なこと。	인생에 있어서 중요한 것.
～ものなら	～ものなら	~할 수만 있다면	문법		会えるものなら会いたい。	만날 수만 있다면 만나고 싶다.	できるものなら逃げたい。	할 수만 있다면 도망가고 싶다.
	ただし	다만, 단	접속사	관용 표현	参加自由。ただし会員のみ。	참가 자유. 단 회원만.	無料です。ただし、予約が必要です。	무료입니다. 단 예약이 필요합니다.
～勢いだ	～いきおいだ	~할 기세이다	문법		飛ぶ勢いだ。	날아갈 기세다.	走り出す勢いだ。	달려나갈 기세다.
ご覧いただく	ごらんいただく	보시다 <겸손>	동사	겸손어	資料をご覧いただけますでしょうか。	자료를 보실 수 있겠습니까?	こちらをご覧いただきたく存じます。	이쪽을 봐 주셨으면 합니다.
～にすぎない	～にすぎない	~에 지나지 않는다	문법		それは推測にすぎない。	그것은 추측에 지나지 않는다.	彼は子供にすぎない。	그는 아이에 지나지 않는다.
～ならともかく	～ならともかく	~이라면 몰라도	문법		子供ならともかく大人がそれは恥ずかしい。	아이라면 몰라도 어른이 그것은 부끄럽다.	日本人ならともかく外国人には難しい。	일본인이라면 몰라도 외국인에게는 어렵다.
～てもらう	～てもらう	~해 주다	문법		友達に手伝ってもらった。	친구가 도와주었다.	先生に教えてもらう。	선생님이 가르쳐 주신다.
～(さ)せる	～させる	~시키다, ~하게 하다 <사역>	문법		子供に宿題をさせる。	아이에게 숙제를 시킨다.	学生に発表させる。	학생에게 발표하게 한다.
	いたす	하다 <겸양, 겸손>	동사	겸양어	私がいたします。	제가 하겠습니다.	お電話いたします。	전화드리겠습니다.
～がち	～がち	자주 ~함, 일쑤임	문법		忘れがちな約束だ。	잊기 쉬운 약속이다.	遅刻しがちな人だ。	지각하기 일쑤인 사람이다.
