# N2 enrichment batch 1 (1~100)
# columns: headword	reading	meaning	part_of_speech	etymology	jp1	kr1	jp2	kr2
要求	ようきゅう	요구	명사	要(요긴할 요): 여인의 허리 모양에서 핵심을 뜻함 / 求(구할 구): 짐승 가죽을 구하는 모양	労働者は賃上げを要求した。	노동자들은 임금 인상을 요구했다.	顧客の要求に応えるべく努力する。	고객의 요구에 부응하고자 노력한다.
密接な	みっせつな	밀접한	な형용사	密(빽빽할 밀): 산(山) 속에 빽빽이 우거진 모양 / 接(이을 접): 손(扌)으로 무언가를 잇는 모양	経済と政治は密接な関係にある。	경제와 정치는 밀접한 관계에 있다.	睡眠と健康には密接な関連がある。	수면과 건강에는 밀접한 관련이 있다.
祝う	いわう	축하하다	동사	祝(빌 축): 제단(示) 앞에서 사람(兄)이 비는 모양	友人の結婚を心から祝った。	친구의 결혼을 진심으로 축하했다.	家族で誕生日を祝う予定だ。	가족이 함께 생일을 축하할 예정이다.
豊富な	ほうふな	풍부한	な형용사	豊(풍성할 풍): 제기에 곡식이 풍성하게 담긴 모양 / 富(부유할 부): 집(宀)에 가득 찬 재물	経験豊富な医師に診てもらった。	경험이 풍부한 의사에게 진료받았다.	資源が豊富な国は経済的に有利だ。	자원이 풍부한 나라는 경제적으로 유리하다.
調節	ちょうせつ	조절	명사	調(고를 조): 말(言)을 두루(周) 맞추다 / 節(마디 절): 대나무(竹)의 마디가 균형을 잡음	エアコンの温度を調節した。	에어컨 온도를 조절했다.	生活リズムを調節するのが難しい。	생활 리듬을 조절하기가 어렵다.
補う	おぎなう	보완하다, 보충하다	동사	補(기울 보): 옷(衤)의 떨어진 곳을 채워 깁는 모양	睡眠不足を昼寝で補った。	수면 부족을 낮잠으로 보충했다.	彼女の弱点を仲間が補ってくれる。	그녀의 약점을 동료들이 보완해 준다.
至急	しきゅう	지급, 매우 급함	명사	至(이를 지): 화살(矢)이 땅에 닿은 모양 → 도달함 / 急(급할 급): 마음(心)이 다급한 모양	至急の連絡が入った。	매우 급한 연락이 들어왔다.	至急、書類を提出してください。	지급으로 서류를 제출해 주세요.
率直な	そっちょくな	솔직한	な형용사	率(거느릴 솔): 그물로 무리를 끌어모음 / 直(곧을 직): 눈(目)이 똑바로 바라봄	彼は率直な人柄で信頼されている。	그는 솔직한 성격으로 신뢰받고 있다.	率直な意見を聞かせてほしい。	솔직한 의견을 들려주었으면 한다.
装置	そうち	장치	명사	装(꾸밀 장): 옷(衣)을 단단히(壮) 차려입음 / 置(둘 치): 그물(网)에 잡힌 것을 곧게 둠	最新の通信装置が導入された。	최신 통신 장치가 도입되었다.	安全装置が正しく作動した。	안전 장치가 정상적으로 작동했다.
抽象的な	ちゅうしょうてきな	추상적인	な형용사	抽(뽑을 추): 손(扌)으로 빼냄 / 象(코끼리 상): 코끼리 모양 → 형상 / 的: ~한	抽象的な議論ばかりで結論が出ない。	추상적인 논의만 하다가 결론이 나지 않는다.	彼の絵は抽象的で解釈が難しい。	그의 그림은 추상적이라 해석이 어렵다.
占める	しめる	차지하다, 점유하다	동사	占(점칠 점): 거북등을 보고(口) 점을 침 → 자리를 정함	女性社員が全体の半数を占める。	여성 직원이 전체의 절반을 차지한다.	会議室の席を早めに占めた。	회의실 자리를 일찍 차지했다.
返却	へんきゃく	반납	명사	返(돌이킬 반): 길(辶)을 돌아옴(反) / 却(물리칠 각): 발걸음(去)을 멈추고 무릎을 꿇음	図書館に本を返却した。	도서관에 책을 반납했다.	借りた傘の返却を忘れていた。	빌린 우산을 반납하는 걸 잊고 있었다.
削除	さくじょ	삭제	명사	削(깎을 삭): 칼(刂)로 깎아냄 / 除(덜 제): 언덕(阝)을 덜어내는 모양	不要なファイルを削除した。	불필요한 파일을 삭제했다.	名簿から名前を削除してください。	명단에서 이름을 삭제해 주세요.
針	はり	바늘	명사	針(바늘 침): 쇠(金)로 만든 가늘고 곧은 도구	時計の針が三時を指している。	시곗바늘이 3시를 가리키고 있다.	針に糸を通すのに苦労した。	바늘에 실을 꿰는 데 고생했다.
焦点	しょうてん	초점	명사	焦(탈 초): 새(隹)가 불(灬)에 그을림 → 한곳에 집중 / 点(점 점): 작은 점	話の焦点がぼやけてしまった。	이야기의 초점이 흐려져 버렸다.	問題の焦点はコストにある。	문제의 초점은 비용에 있다.
撮影	さつえい	촬영	명사	撮(찍을 촬): 손(扌)으로 가장 좋은 순간(最)을 잡음 / 影(그림자 영): 햇빛이 만든 형상	映画の撮影が始まった。	영화 촬영이 시작되었다.	ここでの撮影は禁止されている。	이곳에서의 촬영은 금지되어 있다.
略する	りゃくする	생략하다, 줄이다	동사	略(간략할 략): 밭(田)을 다스려 핵심만 남김	あいさつを略して本題に入った。	인사말을 생략하고 본론으로 들어갔다.	国名を略して呼ぶことが多い。	나라 이름을 줄여서 부르는 경우가 많다.
破片	はへん	파편	명사	破(깨뜨릴 파): 돌(石)이 가죽(皮)처럼 갈라짐 / 片(조각 편): 나무를 쪼개 한쪽만 남긴 모양	割れたガラスの破片に注意して。	깨진 유리 파편을 조심해.	花瓶の破片を片付けた。	꽃병의 파편을 치웠다.
世の中	よのなか	세상	명사	世(인간 세): 30년 단위 세대 / 中(가운데 중): 깃대를 가운데 꽂은 모양	世の中はそんなに甘くない。	세상은 그렇게 만만치 않다.	世の中の動きに敏感な人だ。	세상의 흐름에 민감한 사람이다.
清潔な	せいけつな	청결한	な형용사	清(맑을 청): 푸른(青) 물(氵)처럼 깨끗함 / 潔(깨끗할 결): 물로 매듭(絜)을 풀어 깨끗하게 함	清潔なタオルを用意した。	깨끗한 수건을 준비했다.	キッチンを清潔に保つことが大切だ。	부엌을 청결하게 유지하는 것이 중요하다.
勧誘	かんゆう	권유	명사	勧(권할 권): 황새(雚)처럼 적극 권함 / 誘(꾈 유): 말(言)로 부드럽게(秀) 이끔	友達からテニスサークルに勧誘された。	친구로부터 테니스 동아리에 권유를 받았다.	強引な勧誘は迷惑だ。	강요하는 권유는 민폐다.
隠す	かくす	숨기다	동사	隠(숨길 은): 언덕(阝) 뒤에 마음(心)을 감추는 모양	彼は本心を隠しているようだ。	그는 본심을 숨기고 있는 듯하다.	プレゼントを引き出しに隠した。	선물을 서랍에 숨겼다.
改めて	あらためて	다시	부사	改(고칠 개): 자기(己)를 매로 두드려(攵) 새롭게 함	改めて自分の生き方を考えた。	다시금 내 삶의 방식을 생각해 보았다.	改めてご連絡いたします。	다시 한번 연락드리겠습니다.
姿勢	しせい	자세	명사	姿(모양 자): 다음(次)에 보이는 여자(女)의 모습 / 勢(형세 세): 묘목을 심어 자라는 힘	正しい姿勢で椅子に座る。	바른 자세로 의자에 앉는다.	問題に取り組む姿勢が評価された。	문제에 임하는 자세를 평가받았다.
拡充	かくじゅう	확충	명사	拡(넓힐 확): 손(扌)으로 넓게(広) 펼침 / 充(채울 충): 사람이 가득 차오름	福祉サービスの拡充が求められている。	복지 서비스 확충이 요구되고 있다.	設備を拡充して生産能力を上げる。	설비를 확충해 생산 능력을 높이다.
積む	つむ	쌓다	동사	積(쌓을 적): 벼(禾)를 모아 쌓음	経験を積んで成長する。	경험을 쌓아 성장한다.	倉庫に荷物を高く積んだ。	창고에 짐을 높이 쌓았다.
模範	もはん	모범	명사	模(본뜰 모): 나무(木)로 만든 본 / 範(법 범): 수레(車)를 본보기로 삼음	彼は社員の模範となる存在だ。	그는 직원들의 모범이 되는 존재다.	先輩として模範を示す必要がある。	선배로서 모범을 보일 필요가 있다.
逃亡	とうぼう	도망	명사	逃(달아날 도): 길(辶)을 따라 빠져나감 / 亡(망할 망): 사람이 사라짐	犯人は海外へ逃亡した。	범인은 해외로 도망갔다.	彼は責任から逃亡しようとした。	그는 책임에서 도망가려고 했다.
大幅に	おおはばに	대폭적으로	부사	大(클 대): 사람이 팔다리를 벌린 모양 / 幅(폭 폭): 천(巾)의 너비	価格が大幅に下がった。	가격이 대폭 내려갔다.	計画を大幅に修正した。	계획을 대폭 수정했다.
極端な	きょくたんな	극단적인	な형용사	極(다할 극): 끝까지 다다른 모양 / 端(끝 단): 풀(立)의 끝부분	彼の意見は極端な場合が多い。	그의 의견은 극단적인 경우가 많다.	極端なダイエットは健康を害する。	극단적인 다이어트는 건강을 해친다.
悔しい	くやしい	억울하다	い형용사	悔(뉘우칠 회): 마음(忄)에 매양(每) 후회가 남음	試合で負けて悔しい思いをした。	시합에 져서 억울한 마음이 들었다.	あと一歩のところで失敗して悔しい。	한 발짝 차이로 실패해서 분하다.
戻す	もどす	되돌리다	동사	戻(돌아올 려): 문(戶) 안으로 큰(大) 것을 되돌리는 모양	本を元の場所に戻した。	책을 원래 자리로 되돌렸다.	時計を一時間戻した。	시계를 한 시간 되돌렸다.
幼稚な	ようちな	유치한	な형용사	幼(어릴 유): 작은(幺) 힘(力) / 稚(어릴 치): 어린(隹) 벼(禾)	彼の発言は幼稚に感じた。	그의 발언은 유치하게 느껴졌다.	幼稚な争いはやめよう。	유치한 다툼은 그만두자.
継続	けいぞく	계속	명사	継(이을 계): 실(糸)을 끊임없이 이음 / 続(이을 속): 실을 팔다(売) → 끊지 않음	毎日の運動を継続することが大切だ。	매일의 운동을 지속하는 것이 중요하다.	プロジェクトは継続して進められる。	프로젝트는 계속해서 진행된다.
圧勝	あっしょう	압승	명사	圧(누를 압): 흙(土)으로 강하게 누름 / 勝(이길 승): 힘(力)으로 이김	彼は選挙で圧勝した。	그는 선거에서 압승했다.	試合は10対0の圧勝に終わった。	시합은 10대 0의 압승으로 끝났다.
除く	のぞく	제외하다, 제거하다	동사	除(덜 제): 언덕(阝)을 덜어내는 모양 → 제거함	日曜日を除いて毎日働く。	일요일을 제외하고 매일 일한다.	庭の雑草を除いた。	정원의 잡초를 제거했다.
傷む	いたむ	상하다, 손상되다	동사	傷(다칠 상): 사람(亻)이 화살(矢)에 다친 모양	夏は食べ物が傷みやすい。	여름에는 음식이 잘 상한다.	靴が傷んできたので買い替える。	신발이 망가져서 새로 산다.
貿易	ぼうえき	무역	명사	貿(바꿀 무): 재물(貝)을 바꾸어 거래 / 易(바꿀 역): 도마뱀이 색을 바꾸듯 변하는 거래	日本は中国と貿易を行っている。	일본은 중국과 무역을 하고 있다.	貿易摩擦が両国の関係を悪化させた。	무역 마찰이 양국 관계를 악화시켰다.
省略	しょうりゃく	생략	명사	省(살필 성/덜 생): 작게(少) 살핌 / 略(간략할 략): 핵심만 남김	形式的な手続きを省略した。	형식적인 절차를 생략했다.	時間がないので説明を省略します。	시간이 없으니 설명을 생략하겠습니다.
拒否	きょひ	거부	명사	拒(막을 거): 손(扌)으로 큰 것을 막음 / 否(아닐 부): 입(口)으로 부정함	彼は提案を拒否した。	그는 제안을 거부했다.	支払いを拒否されてしまった。	지불을 거부당하고 말았다.
含める	ふくめる	포함시키다	동사	含(머금을 함): 입(口)에 무언가를 머금음	税金を含めた金額を表示する。	세금을 포함한 금액을 표시한다.	子供も含めて全員参加する。	아이들도 포함해 전원이 참가한다.
囲む	かこむ	둘러싸다, 에워싸다	동사	囲(에워쌀 위): 사방(囗)을 둘러싸 가둠	家族でテーブルを囲んで食事した。	가족이 식탁을 둘러싸고 식사했다.	警察が建物を囲んだ。	경찰이 건물을 에워쌌다.
油断	ゆだん	방심	명사	油(기름 유): 물(氵)처럼 흐르는 기름 / 断(끊을 단): 도끼(斤)로 자르듯 단호함이 끊김	最後まで油断してはいけない。	끝까지 방심해서는 안 된다.	一瞬の油断が大事故を招いた。	순간의 방심이 큰 사고를 초래했다.
損害	そんがい	손해	명사	損(덜 손): 손(扌)으로 줄임 / 害(해할 해): 집(宀) 안의 사물을 망침	台風で大きな損害を受けた。	태풍으로 큰 손해를 입었다.	損害賠償を請求する。	손해 배상을 청구한다.
行事	ぎょうじ	행사	명사	行(다닐 행): 네거리 모양 / 事(일 사): 깃대를 손에 든 모양 → 일	毎年恒例の行事に参加した。	매년 정례 행사에 참가했다.	学校の行事で忙しい一週間だった。	학교 행사로 바쁜 일주일이었다.
現象	げんしょう	현상	명사	現(나타날 현): 옥(王)이 보이게 됨 / 象(코끼리 상): 형상	不思議な自然現象が観察された。	불가사의한 자연 현상이 관찰되었다.	都市部での人口集中は世界的な現象だ。	도시부 인구 집중은 세계적인 현상이다.
詳しい	くわしい	자세하다, 상세하다	い형용사	詳(자세할 상): 말(言)이 양(羊)처럼 부드럽고 자세함	事故の詳しい状況を教えてください。	사고의 상세한 상황을 알려 주세요.	彼は日本史に詳しい。	그는 일본사에 정통하다.
憎い	にくい	밉다	い형용사	憎(미울 증): 마음(忄)에 더해진(曾) 부정적 감정	裏切った相手が憎い。	배신한 상대가 밉다.	犯人が憎くてたまらない。	범인이 미워서 견딜 수 없다.
貴重な	きちょうな	귀중한	な형용사	貴(귀할 귀): 귀한 재물(貝)을 두 손으로 받듦 / 重(무거울 중): 무겁고 소중함	貴重な経験を積むことができた。	귀중한 경험을 쌓을 수 있었다.	貴重な時間を割いて協力してくれた。	귀중한 시간을 내어 협력해 주었다.
競う	きそう	겨루다, 경쟁하다	동사	競(다툴 경): 두 사람이 나란히 서서 다투는 모양	選手たちは技を競い合った。	선수들은 기술을 겨루었다.	兄弟で成績を競っている。	형제끼리 성적을 다투고 있다.
怪しい	あやしい	수상하다	い형용사	怪(괴이할 괴): 흙(土)에서 나온 손(又) → 마음(忄)에 의심	怪しい男が家の前にいた。	수상한 남자가 집 앞에 있었다.	彼の話には怪しい点が多い。	그의 이야기에는 수상한 점이 많다.
批評	ひひょう	비평	명사	批(비평할 비): 손(扌)으로 비교(比)함 / 評(평할 평): 말(言)로 평평하게 평가	映画の批評を新聞で読んだ。	영화 비평을 신문에서 읽었다.	厳しい批評にも耳を傾ける。	엄한 비평에도 귀를 기울인다.
容姿	ようし	용모, 외모	명사	容(얼굴 용): 집(宀) 안에 담긴 모습 / 姿(모양 자): 사람의 모습	容姿よりも内面を大切にしたい。	용모보다 내면을 소중히 하고 싶다.	彼女は整った容姿で人気がある。	그녀는 단정한 용모로 인기가 있다.
納める	おさめる	납입하다, 납부하다	동사	納(들일 납): 안으로(內) 실(糸)을 들여놓음	毎月家賃を納めている。	매달 집세를 납부하고 있다.	税金を期日までに納めた。	세금을 기일 내에 납부했다.
伴う	ともなう	따르다, 동반하다	동사	伴(짝 반): 사람(亻)이 반(半) 둘로 나뉘어 짝을 이룸	大きな責任が伴う仕事だ。	큰 책임이 따르는 일이다.	彼女を伴って会場に向かった。	그녀를 동반하고 회장으로 향했다.
劣る	おとる	뒤떨어지다, 열등하다	동사	劣(못할 렬): 적은(少) 힘(力) → 열등함	性能が他社の製品より劣る。	성능이 타사 제품보다 떨어진다.	経験では彼に劣らない。	경험에서는 그에게 뒤지지 않는다.
願望	がんぼう	소망, 바람	명사	願(원할 원): 머리(頁)에 늘 품고 있는 바람 / 望(바랄 망): 멀리(亡) 달(月)을 바라봄	海外で働きたいという願望がある。	해외에서 일하고 싶다는 소망이 있다.	彼の願望はマイホームを持つことだ。	그의 바람은 자기 집을 갖는 것이다.
幼い	おさない	어리다	い형용사	幼(어릴 유): 작은(幺) 힘(力)	幼い子供を持つ親は大変だ。	어린 아이를 가진 부모는 힘들다.	幼い頃の思い出が蘇った。	어릴 적 추억이 되살아났다.
握る	にぎる	쥐다	동사	握(쥘 악): 손(扌)으로 단단히(屋) 잡음	しっかりと手を握り合った。	꼭 손을 맞잡았다.	成功の鍵は彼が握っている。	성공의 열쇠는 그가 쥐고 있다.
密閉	みっぺい	밀폐	명사	密(빽빽할 밀): 빈틈없이 / 閉(닫을 폐): 문(門)을 닫음	食材を密閉容器に入れて保存した。	식재료를 밀폐 용기에 넣어 보관했다.	部屋を密閉して殺虫剤をまいた。	방을 밀폐하고 살충제를 뿌렸다.
絞る	しぼる	짜다, 범위를 좁히다	동사	絞(목맬 교): 실(糸)을 교차(交)하여 단단히 짜냄	タオルを絞ってから干した。	수건을 짜고 나서 널었다.	候補者を三人に絞った。	후보자를 세 명으로 좁혔다.
垂直	すいちょく	수직	명사	垂(드리울 수): 풀이 아래로 늘어진 모양 / 直(곧을 직): 똑바름	柱を地面に垂直に立てた。	기둥을 지면에 수직으로 세웠다.	ビルの壁は垂直になっている。	빌딩 벽은 수직으로 되어 있다.
乱れる	みだれる	흐트러지다, 어지러워지다	동사	乱(어지러울 란): 실이 엉킨 모양	強風で髪が乱れた。	강풍으로 머리가 흐트러졌다.	生活リズムが乱れて体調を崩した。	생활 리듬이 흐트러져 건강이 나빠졌다.
柔軟な	じゅうなんな	유연한	な형용사	柔(부드러울 유): 창(矛) 같은 강한 것이 부드러워짐 / 軟(연할 연): 수레(車)가 부드럽게(欠) 움직임	柔軟な発想が新しい企画を生んだ。	유연한 발상이 새 기획을 낳았다.	柔軟に対応する姿勢が大事だ。	유연하게 대응하는 자세가 중요하다.
強火	つよび	센 불	명사	強(강할 강): 활(弓)이 강함 / 火(불 화): 불꽃 모양	強火で一気に焼き上げる。	센 불에 단번에 구워 낸다.	強火だと焦げやすいので注意。	센 불이면 잘 타니 주의.
抱える	かかえる	안다, 껴안다	동사	抱(안을 포): 손(扌)으로 감싸 안음(包)	たくさんの問題を抱えている。	많은 문제를 떠안고 있다.	大きな荷物を両手で抱えた。	큰 짐을 양손으로 껴안았다.
求人	きゅうじん	구인	명사	求(구할 구): 짐승 가죽을 구함 / 人(사람 인): 사람을 구함	新聞の求人広告を見て応募した。	신문의 구인 광고를 보고 응모했다.	経験者の求人が増えている。	경력자 구인이 늘고 있다.
怖い	こわい	무섭다	い형용사	怖(두려워할 포): 마음(忄)이 베(布)처럼 떨림	夜道を一人で歩くのは怖い。	밤길을 혼자 걷는 것은 무섭다.	怖い夢を見て目が覚めた。	무서운 꿈을 꿔서 잠에서 깼다.
冷蔵庫	れいぞうこ	냉장고	명사	冷(찰 랭): 얼음(冫)처럼 차가움 / 蔵(감출 장): 풀(艹) 속에 감춤 / 庫(곳집 고): 차고	冷蔵庫から牛乳を取り出した。	냉장고에서 우유를 꺼냈다.	冷蔵庫の中はいつも整理しておく。	냉장고 안은 늘 정리해 둔다.
総額	そうがく	총액	명사	総(거느릴 총): 실(糸)을 모아 총괄 / 額(이마 액): 액수	旅行費用の総額は十万円だった。	여행 경비 총액은 10만 엔이었다.	プロジェクトの総額を見直した。	프로젝트의 총액을 재검토했다.
湿る	しめる	습기 차다, 축축하다	동사	湿(젖을 습): 물(氵)에 풀이 젖은 모양	梅雨で布団が湿ってしまった。	장마로 이불이 축축해져 버렸다.	地面が湿っているので滑りやすい。	지면이 축축해서 미끄럽다.
抽選	ちゅうせん	추첨	명사	抽(뽑을 추): 손(扌)으로 뽑음 / 選(가릴 선): 길에서 사람을 골라냄	コンサートのチケットは抽選だ。	콘서트 티켓은 추첨제다.	抽選で旅行券が当たった。	추첨으로 여행권에 당첨되었다.
離れる	はなれる	떨어지다, 거리가 멀어지다	동사	離(떠날 리): 새가 그물을 떠나는 모양	彼女から離れたくない。	그녀에게서 떨어지고 싶지 않다.	実家から離れて暮らしている。	본가에서 떨어져 살고 있다.
企画	きかく	기획	명사	企(꾀할 기): 사람이 발돋움(止)을 함 / 画(그림 화): 밭에 경계선을 그음	新商品の企画を提案した。	신상품 기획을 제안했다.	イベントの企画段階に入った。	이벤트의 기획 단계에 들어갔다.
再度	さいど	두 번, 재차	부사	再(두 재): 다시 / 度(법도 도): 횟수	再度確認のためお電話しました。	재확인을 위해 전화드렸습니다.	再度同じ質問をされた。	재차 같은 질문을 받았다.
和やかな	なごやかな	부드럽다, 온화하다	な형용사	和(화할 화): 벼(禾)와 입(口)이 어우러짐 → 평온함	和やかな雰囲気で会議が進んだ。	부드러운 분위기로 회의가 진행되었다.	和やかな笑顔で迎えてくれた。	온화한 미소로 맞이해 주었다.
処理	しょり	처리	명사	処(곳 처/처리할 처): 자리를 정함 / 理(다스릴 리): 옥(王)을 다스림	書類の処理に時間がかかった。	서류 처리에 시간이 걸렸다.	問題を迅速に処理する。	문제를 신속하게 처리한다.
憎む	にくむ	미워하다	동사	憎(미울 증): 마음(忄)에 부정 감정이 더해짐	人を憎むことは自分を傷つける。	사람을 미워하는 것은 자신을 다치게 한다.	彼は裏切り者を心から憎んだ。	그는 배신자를 진심으로 미워했다.
偶然	ぐうぜん	우연히	부사	偶(짝 우): 사람(亻)과 인형(禺)이 만남 / 然(그러할 연): 그러함	駅で偶然友達に会った。	역에서 우연히 친구를 만났다.	偶然の出会いから恋が始まった。	우연한 만남에서 사랑이 시작되었다.
刺激	しげき	자극	명사	刺(찌를 자): 가시로 찌름 / 激(부딪칠 격): 물(氵)이 부딪쳐 격해짐	新しい仕事から刺激を受けた。	새로운 일에서 자극을 받았다.	辛い食べ物は胃に刺激が強い。	매운 음식은 위에 자극이 강하다.
恥	はじ	부끄러움, 창피	명사	恥(부끄러울 치): 귀(耳)와 마음(心) → 부끄러움에 귀가 빨개짐	人前で転んで恥をかいた。	사람들 앞에서 넘어져서 창피를 당했다.	失敗しても恥と思わないでほしい。	실패해도 부끄럽게 여기지 말았으면 한다.
圧倒的	あっとうてき	압도적	명사	圧(누를 압): 강하게 누름 / 倒(넘어질 도): 사람을 넘어뜨림 / 的: ~한	彼の歌唱力は圧倒的だ。	그의 가창력은 압도적이다.	圧倒的な差で優勝した。	압도적인 차이로 우승했다.
等しい	ひとしい	같다, 다름없다	い형용사	等(가지런할 등): 대나무(竹) 마디가 가지런함	二つの三角形は面積が等しい。	두 삼각형은 면적이 같다.	彼の意見は私と等しい。	그의 의견은 나와 같다.
軽傷	けいしょう	경상, 가벼운 부상	명사	軽(가벼울 경): 수레(車)가 가벼움 / 傷(다칠 상): 다친 모양	事故では幸い軽傷で済んだ。	사고에서는 다행히 경상으로 그쳤다.	軽傷だが念のため病院に行く。	경상이지만 만일을 위해 병원에 간다.
負担	ふたん	부담	명사	負(질 부): 등에 짐을 짐 / 担(멜 담): 어깨에 멤	治療費の負担が大きい。	치료비 부담이 크다.	経済的な負担を軽減したい。	경제적 부담을 줄이고 싶다.
映る	うつる	비치다, 영상으로 나타나다	동사	映(비칠 영): 햇빛(日)이 가운데(央) 비침	湖に山が映っている。	호수에 산이 비치고 있다.	画面に映像が映らない。	화면에 영상이 나타나지 않는다.
下旬	げじゅん	하순	명사	下(아래 하): 아래쪽 / 旬(열흘 순): 열흘 단위	十月下旬に旅行を予定している。	10월 하순에 여행을 예정하고 있다.	下旬になると気温が下がる。	하순이 되면 기온이 내려간다.
倒す	たおす	쓰러뜨리다	동사	倒(넘어질 도): 사람(亻)이 거꾸로(到) 넘어짐	強敵を見事に倒した。	강적을 멋지게 쓰러뜨렸다.	木を倒して薪にした。	나무를 쓰러뜨려 장작으로 했다.
