# N2 enrichment batch 12 (1101~1256)
	よければ	괜찮다면, 좋다면	관용	관용 표현	よければ一緒に行きませんか。	괜찮으면 함께 가지 않을래요?	よければ手伝います。	좋다면 돕겠습니다.
～を問わず	～をとわず	~을 불문하고	문법		年齢を問わず参加できる。	연령을 불문하고 참가할 수 있다.	経験を問わず歓迎する。	경험을 불문하고 환영한다.
～にかぎる	～にかぎる	~에 한해서(~할 때만)	문법		子供にかぎり無料だ。	아이에 한해서 무료다.	会員にかぎりサービスを提供する。	회원에 한해 서비스를 제공한다.
～せいか	～せいか	~탓인지	문법		疲れたせいか頭が痛い。	피곤한 탓인지 머리가 아프다.	寒いせいか体調が悪い。	추운 탓인지 컨디션이 나쁘다.
～ことに	～ことに	~하게도	문법		驚いたことに彼が現れた。	놀랍게도 그가 나타났다.	残念なことに失敗した。	안타깝게도 실패했다.
～ないと	～ないと	~하지 않으면	문법		急がないと遅れる。	서두르지 않으면 늦는다.	勉強しないと合格できない。	공부하지 않으면 합격할 수 없다.
～られなかったら	～られなかったら	~할 수 없다면	문법		来られなかったら連絡してください。	올 수 없다면 연락해 주세요.	続けられなかったらやめてもいい。	계속할 수 없으면 그만둬도 된다.
～ぬく	～ぬく	끝까지 ~하다	문법		最後までやりぬく。	끝까지 해내다.	考えぬいた末の決断だ。	끝까지 생각한 끝의 결단이다.
伺う	うかがう	듣다, 여쭈다 〈겸양〉	동사	겸양어	お話を伺ってもよろしいですか。	말씀을 들어도 되겠습니까?	先生に伺いたいことがあります。	선생님께 여쭙고 싶은 것이 있습니다.
～ばいい	～ばいい	~하면 된다	문법		ここに座ればいい。	여기 앉으면 된다.	早めに行けばいい。	일찍 가면 된다.
～というより	～というより	~라기보다	문법		優しいというより無関心だ。	다정하다기보다 무관심하다.	好きというより尊敬している。	좋아한다기보다 존경한다.
～て以来	～ていらい	~한 이래	문법		引っ越して以来連絡がない。	이사한 이래 연락이 없다.	卒業して以来会っていない。	졸업한 이래 만나지 못했다.
～にでもなって	～にでもなって	~나 되어서, ~라도 되어서	문법		専門家にでもなったつもりで話す。	전문가라도 된 듯 말한다.	大臣にでもなったつもりだ。	장관이라도 된 듯하다.
～たらよかった	～たらよかった	~했으면 좋았을 텐데	문법		もっと早く来たらよかった。	좀 더 빨리 왔으면 좋았을 텐데.	教えてくれたらよかったのに。	알려 줬으면 좋았을 텐데.
～に向けて	～にむけて	~를 목표로	문법		試験に向けて勉強する。	시험을 목표로 공부한다.	未来に向けて頑張る。	미래를 향해 노력한다.
～からといって	～からといって	~라고 해서	문법		忙しいからといって連絡しないのは失礼だ。	바쁘다고 해서 연락 안 하는 것은 실례다.	安いからといって質が悪いとは限らない。	싸다고 해서 품질이 나쁘다고 단정할 수 없다.
～だっけ	～だっけ	~였더라?	문법		何だったっけ。	뭐였더라?	会議は何時だっけ。	회의는 몇 시였더라?
～ずにいる	～ずにいる	~하지 않고 있다	문법		食べずにいる。	먹지 않고 있다.	返事せずにいる。	대답하지 않고 있다.
～そうになる	～そうになる	~할 뻔 하다	문법		転びそうになった。	넘어질 뻔했다.	泣きそうになる。	울 뻔하다.
～どころか	～どころか	~는커녕	문법		褒められるどころか怒られた。	칭찬받기는커녕 혼났다.	休むどころか追加の仕事が入った。	쉬기는커녕 추가 일이 들어왔다.
～だけは	～だけは	~만은	문법		これだけは譲れない。	이것만은 양보할 수 없다.	君だけは信じる。	너만은 믿는다.
～にともなって	～にともなって	~에 따라서	문법		人口増加にともなって需要が増えた。	인구 증가에 따라 수요가 늘었다.	経済発展にともなって変化が起きた。	경제 발전에 따라 변화가 일어났다.
～ことから	～ことから	~로 인해, ~때문에	문법		事故が増えたことから対策を強化した。	사고가 늘었기 때문에 대책을 강화했다.	彼が来たことから始まった。	그가 와서 시작되었다.
	いらっしゃる	계시다 〈존경〉	동사	존경어	お元気でいらっしゃいますか。	건강히 계십니까?	先生はいらっしゃいますか。	선생님 계십니까?
～がちだ	～がちだ	~한 경향이 있다, ~하기 일쑤다	문법		彼は遅刻しがちだ。	그는 지각하기 일쑤다.	忘れがちなことに気をつける。	잊기 쉬운 것에 주의한다.
～ことにする	～ことにする	~하기로 하다	문법		明日は休むことにする。	내일은 쉬기로 한다.	新しい仕事を始めることにした。	새 일을 시작하기로 했다.
～ないといけない	～ないといけない	~하지 않으면 안된다	문법		早く寝ないといけない。	일찍 자야 한다.	返事をしないといけない。	대답을 해야 한다.
～につれて	～につれて	~함에 따라서	문법		時間が経つにつれて慣れた。	시간이 지남에 따라 익숙해졌다.	経験を積むにつれて自信がついた。	경험을 쌓음에 따라 자신감이 붙었다.
二度と～ない	にどとない	두 번 다시 ~하지 않는다	문법		二度と遅刻しない。	두 번 다시 지각하지 않는다.	二度と来ない人もいる。	두 번 다시 오지 않는 사람도 있다.
～としてなら	～としてなら	~로서라면	문법		友人としてなら相談に乗る。	친구로서라면 상담에 응한다.	先輩としてならアドバイスできる。	선배로서라면 조언할 수 있다.
～ことで	～ことで	~로 인해	문법		努力することで成長する。	노력함으로써 성장한다.	話し合うことで解決した。	논의함으로써 해결되었다.
～以来	～いらい	~이래	문법		卒業以来会っていない。	졸업 이래 만나지 못했다.	開業以来繁盛している。	개업 이래 번창하고 있다.
～にほかならない	～にほかならない	바로 ~이다, 다름 아닌 ~이다	문법		それは努力の結果にほかならない。	그것은 다름 아닌 노력의 결과다.	成功は努力の積み重ねにほかならない。	성공은 노력의 축적에 다름 아니다.
～べきだ	～べきだ	~해야 한다	문법		もっと運動すべきだ。	좀 더 운동해야 한다.	早めに連絡すべきだ。	일찍 연락해야 한다.
～おかげだ	～おかげだ	~덕분이다	문법		君のおかげだ。	네 덕분이다.	成功は努力のおかげだ。	성공은 노력 덕분이다.
～に至って	～にいたって	~에 이르러	문법		この時期に至っても解決しない。	이 시기에 이르러도 해결되지 않는다.	深夜に至るまで議論した。	심야에 이르도록 논의했다.
～にかかわらず	～にかかわらず	~에 관계없이	문법		性別にかかわらず採用する。	성별에 관계없이 채용한다.	天候にかかわらず開催する。	날씨에 관계없이 개최한다.
	いつのまに	어느 틈에	부사	관용 부사	いつのまに眠ってしまった。	어느 틈에 자버렸다.	いつのまに季節が変わった。	어느 틈에 계절이 바뀌었다.
～反面	～はんめん	~반면	문법		便利な反面、危険もある。	편리한 반면 위험도 있다.	厳しい反面、優しい。	엄격한 반면 다정하다.
～でよければ	～でよければ	~로 괜찮다면	문법		これでよければお使いください。	이걸로 괜찮다면 사용해 주세요.	私でよければ手伝います。	저로 괜찮다면 돕겠습니다.
～ないよう	～ないよう	~하지 않도록	문법		遅れないようにする。	늦지 않도록 한다.	忘れないよう注意する。	잊지 않도록 주의한다.
～次第だ	～しだいだ	~에 달렸다	문법		君の努力次第だ。	네 노력에 달렸다.	結果は天気次第だ。	결과는 날씨에 달렸다.
～ことがある	～ことがある	~발생하는 경우가 있다.	문법		遅刻することがある。	지각하는 경우가 있다.	忘れることがある。	잊는 경우가 있다.
～なんか	～なんか	~같은 (것)	문법		勉強なんかしたくない。	공부 같은 거 하고 싶지 않다.	お金なんか要らない。	돈 같은 건 필요 없다.
	どれほど	얼마나	부사	관용 부사	どれほど嬉しいか分からない。	얼마나 기쁜지 모른다.	どれほど大変だったか伝えたい。	얼마나 힘들었는지 전하고 싶다.
～といった	～といった	~와 같은 〈예시, 열거〉	문법		リンゴ、バナナといった果物。	사과, 바나나 같은 과일.	犬や猫といったペット。	개나 고양이 같은 반려동물.
～きり	～きり	~한 채	문법		ベッドに横になったきり起きない。	침대에 누운 채 일어나지 않는다.	出かけたきり戻らない。	나간 채 돌아오지 않는다.
～てみようか	～てみようか	~해 볼까?	문법		新しい料理を作ってみようか。	새 요리를 만들어 볼까?	彼に聞いてみようか。	그에게 물어볼까?
～のであれば	～のであれば	~한 것이라면	문법		難しいのであれば手伝います。	어려운 것이라면 돕겠습니다.	行くのであれば連絡して。	간다면 연락해 줘.
～ずつ	～ずつ	~씩	문법		一人ずつ発表する。	한 사람씩 발표한다.	少しずつ進める。	조금씩 진행한다.
～までになる	～までになる	~할 정도가 되다	문법		プロまでになるには時間がかかる。	프로가 되기까지는 시간이 걸린다.	歩けるまでになった。	걸을 수 있을 정도가 되었다.
～ばよかった	～ばよかった	~했으면 좋았을 텐데	문법		もっと勉強すればよかった。	좀 더 공부했더라면 좋았을 텐데.	早く来ればよかった。	빨리 왔으면 좋았을 텐데.
～ということになる	～ということになる	~라는 것이 된다	문법		中止ということになる。	중지라는 것이 된다.	参加できないということになる。	참가할 수 없다는 것이 된다.
～さえ	～さえ	~조차, ~마저	문법		水さえ飲めない。	물조차 마실 수 없다.	名前さえ知らない。	이름조차 모른다.
	まず	거의, 대체로 〈부정〉	부사	관용 부사	まずありえない。	거의 있을 수 없다.	まず大丈夫だろう。	거의 괜찮을 것이다.
～たび	～たび	~할 때마다	문법		会うたびに変化を感じる。	만날 때마다 변화를 느낀다.	見るたびに思い出す。	볼 때마다 떠오른다.
～たがらないのなら	～たがらないのなら	~하고 싶어하지 않는 것이라면	문법		参加したがらないのなら無理しない。	참가하고 싶어하지 않는다면 무리 안 한다.	話したがらないのならそっとしておく。	말하고 싶어하지 않는다면 가만히 둔다.
～というような	～というような	~라고 하는 듯한	문법		諦めるというような感じだ。	포기하는 듯한 느낌이다.	悲しむというような表情。	슬퍼하는 듯한 표정.
～わけではない	～わけではない	반드시 ~한 것은 아니다	문법		嫌いなわけではない。	싫어하는 것은 아니다.	忙しいわけではない。	바쁜 것은 아니다.
～ところだ	～ところだ	막 ~하는 참이다	문법		今出かけるところだ。	지금 막 나가는 참이다.	今食べ終わったところだ。	지금 막 다 먹은 참이다.
～までで	～までで	~까지	문법		今日までで終了する。	오늘까지 종료한다.	先週までで応募を締め切った。	지난주까지 응모를 마감했다.
～といっても	～といっても	~라고 해도	문법		料理といっても簡単なものだ。	요리라고 해도 간단한 것이다.	旅行といっても日帰りだ。	여행이라 해도 당일치기다.
～からすると	～からすると	~로 보아	문법		彼の様子からすると問題がある。	그의 모습으로 보아 문제가 있다.	結果からすると成功だ。	결과로 보아 성공이다.
～じゃないかと思う	～じゃないかとおもう	~이 아닐까라고 생각한다	문법		遅刻じゃないかと思う。	지각이 아닐까 생각한다.	失敗じゃないかと思う。	실패가 아닐까 생각한다.
ご存知だ	ごぞんじだ	알고 계시다 <존경>	동사	존경어	ご存知の通り変更があります。	아시는 바와 같이 변경이 있습니다.	先生はご存知ですか。	선생님은 알고 계십니까?
～にしたら	～にしたら	~로서는, ~입장에서는	문법		私にしたら難しい問題だ。	저로서는 어려운 문제다.	子供にしたら大変だ。	아이 입장에서는 힘들다.
～なんていう	～なんていう	~라고 하는	문법		失敗するなんていう不安があった。	실패한다는 불안이 있었다.	諦めるなんていう選択はない。	포기한다는 선택은 없다.
～てやる	～てやる	(남에게) ~해 주다	문법		子供にお菓子を買ってやる。	아이에게 과자를 사 준다.	犬を散歩に連れてやる。	개를 산책에 데려간다.
～て初めて	～てはじめて	~해서야 비로소	문법		失って初めて大切さに気付く。	잃고 나서야 비로소 소중함을 깨닫는다.	経験して初めて分かる。	경험해야 비로소 안다.
～かのようだ	～かのようだ	~인 듯하다	문법		夢のような気分だ。	꿈인 듯한 기분이다.	時間が止まったかのようだ。	시간이 멈춘 듯하다.
～ことになっている	～ことになっている	~하기로 되어 있다	문법		明日会議が開かれることになっている。	내일 회의가 열리기로 되어 있다.	行くことになっている。	가기로 되어 있다.
～ていただく	～ていただく	(상대에게) ~해 받다, (상대가) ~해 주다	문법		ご説明していただきました。	설명해 받았습니다.	教えていただきました。	가르쳐 주셨습니다.
～も	～も	~이나 <수량의 강조>	문법		千円もする。	천 엔이나 한다.	十回も呼んだ。	열 번이나 불렀다.
～から	～から	~할 테니까	문법		私が行くから安心して。	내가 갈 테니까 안심해.	急ぐから先に行く。	서두르니까 먼저 간다.
	いずれにしても	어느 쪽이든	관용	관용 표현	いずれにしても結論を出す。	어느 쪽이든 결론을 낸다.	いずれにしても返事は必要だ。	어느 쪽이든 답은 필요하다.
～とあるが	～とあるが	~라고 적혀 있는데	문법		資料にはそう書いてあるが疑問だ。	자료에는 그렇게 적혀 있지만 의문이다.	開店時間とあるが間違いだ。	개점 시간이라 적혀 있지만 잘못이다.
～といえば	～といえば	~로 말하자면	문법		日本といえば寿司だ。	일본 하면 초밥이다.	夏といえばかき氷だ。	여름 하면 빙수다.
～はもとより	～はもとより	~은 물론	문법		英語はもとより日本語も話せる。	영어는 물론 일본어도 말할 수 있다.	子供はもとより大人にも人気だ。	아이는 물론 어른에게도 인기다.
～ぐらい	～ぐらい	~정도	문법		三十分ぐらいかかる。	30분 정도 걸린다.	子供ぐらいの体力だ。	아이 정도의 체력이다.
～をはじめ	～をはじめ	~을 비롯하여	문법		校長をはじめ多くの先生が参加した。	교장을 비롯해 많은 선생님이 참가했다.	アジアをはじめ世界中で人気だ。	아시아를 비롯해 전 세계에서 인기다.
～に限る	～にかぎる	~이 최고다	문법		暑い日はビールに限る。	더운 날은 맥주가 최고다.	疲れた時は休むに限る。	피곤할 때는 쉬는 게 최고다.
～ばいいのに	～ばいいのに	~하면 좋을 텐데	문법		早く来ればいいのに。	빨리 오면 좋을 텐데.	参加すればいいのに。	참가하면 좋을 텐데.
どんなに～ても	どんなにても	아무리 ~해도	문법		どんなに頑張ってもダメだった。	아무리 노력해도 안 됐다.	どんなに考えても答えが出ない。	아무리 생각해도 답이 안 나온다.
～とは	～とは	~라니	문법		まさか彼が来るとは。	설마 그가 올 줄이야.	そんなことができるとは。	그런 일이 가능하다니.
～なんて	～なんて	~라니	문법		彼が来るなんて思わなかった。	그가 올 줄은 생각도 못했다.	そんな話なんて信じられない。	그런 이야기라니 믿을 수 없다.
	つい	그만, 무심코	부사	관용 부사	つい食べ過ぎてしまった。	그만 너무 먹었다.	つい忘れてしまう。	무심코 잊어버린다.
～をこめて	～をこめて	~을 담아	문법		心をこめて作った。	마음을 담아 만들었다.	愛をこめて贈る。	사랑을 담아 보낸다.
～として	～として	~로서	문법		リーダーとして責任を持つ。	리더로서 책임을 진다.	友人として相談に乗る。	친구로서 상담에 응한다.
～どおりに	～どおりに	~대로	문법		計画どおりに進める。	계획대로 진행한다.	指示どおりに動く。	지시대로 움직인다.
～のと～ないのでは	～のとないのでは	~하는 것과 하지 않는 것과는	문법		運動するのとしないのでは違う。	운동하는 것과 하지 않는 것과는 다르다.	行くのと行かないのでは大違いだ。	가는 것과 가지 않는 것은 큰 차이다.
～うえに	～うえに	~인 데다가	문법		美味しいうえに安い。	맛있는 데다가 싸다.	親切なうえに賢い。	친절한 데다가 똑똑하다.
～と思われる	～とおもわれる	~라고 생각되다	문법		これは正しいと思われる。	이것은 옳다고 생각된다.	彼は正直だと思われる。	그는 정직하다고 생각된다.
～だけでなく	～だけでなく	~뿐 아니라	문법		英語だけでなく中国語も話せる。	영어뿐 아니라 중국어도 한다.	子供だけでなく大人にも人気だ。	아이뿐 아니라 어른에게도 인기다.
～ないで済む	～ないですむ	~하지 않아도 된다	문법		心配しないで済む。	걱정하지 않아도 된다.	謝らないで済む話だ。	사과하지 않아도 되는 일이다.
～ながら	～ながら	~이지만 <역접>, ~하면서	문법		子供ながらしっかりしている。	아이지만 야무지다.	音楽を聴きながら勉強する。	음악을 들으면서 공부한다.
今にも～そうだ	いまにもそうだ	당장에라도 ~할 것 같다	문법		今にも雨が降りそうだ。	당장에라도 비가 올 것 같다.	今にも泣きそうな顔だ。	당장에라도 울 것 같은 얼굴이다.
～であっても	～であっても	~라도, ~일지라도	문법		子供であっても理解できる。	아이라도 이해할 수 있다.	私であっても同じだ。	나라도 마찬가지다.
～にとって	～にとって	~에게 있어서	문법		私にとって大切な人だ。	나에게 있어 소중한 사람이다.	子供にとって遊びは学びだ。	아이에게 있어 놀이는 배움이다.
	ようやく	마침내	부사	관용 부사	ようやく完成した。	마침내 완성했다.	ようやく春が来た。	마침내 봄이 왔다.
なかなか～ない	なかなかない	좀처럼 ~하지 않다	문법		なかなか決まらない。	좀처럼 결정되지 않는다.	なかなか会えない。	좀처럼 만날 수 없다.
～だけの	～だけの	~뿐인	문법		それだけの実力がある。	그만큼의 실력이 있다.	話を聞くだけの会だ。	이야기를 듣기만 하는 모임이다.
決して～ない	けっしてない	결코~않는다	문법		決して諦めない。	결코 포기하지 않는다.	決して忘れない。	결코 잊지 않는다.
～に欠かせない	～にかかせない	~에 빠뜨릴 수 없다, ~에 필요하다	문법		彼はチームに欠かせない人材だ。	그는 팀에 빠뜨릴 수 없는 인재다.	生活に欠かせない道具だ。	생활에 빠뜨릴 수 없는 도구다.
～次第で	～しだいで	~에 따라서는	문법		結果は努力次第で変わる。	결과는 노력에 따라 바뀐다.	天気次第で予定が変わる。	날씨에 따라 일정이 바뀐다.
	もう	벌써	부사	관용 부사	もう終わった。	벌써 끝났다.	もう昼だ。	벌써 점심이다.
～に限らず	～にかぎらず	~뿐 아니라	문법		若者に限らず人気だ。	젊은이뿐 아니라 인기다.	日本に限らず世界中で愛される。	일본뿐 아니라 전 세계에서 사랑받는다.
～は別にして	～はべつにして	~는 별개로	문법		結果は別にして努力した。	결과는 별개로 노력했다.	好き嫌いは別にして食べてみる。	호불호는 별개로 먹어 본다.
～つつ	～つつ	~하면서	문법		音楽を聴きつつ作業する。	음악을 들으면서 작업한다.	悩みつつ決めた。	고민하면서 결정했다.
～ばいい/～たらいい	～ばいいたらいい	~하면 된다	문법		こうすればいい/こうしたらいい。	이렇게 하면 된다.	早く行けばいい/早く行ったらいい。	빨리 가면 된다.
～どおり	～どおり	~대로	문법		予定どおり進む。	예정대로 진행된다.	計画どおりに完成した。	계획대로 완성됐다.
～に比べると	～にくらべると	~에 비해	문법		去年に比べると暖かい。	작년에 비해 따뜻하다.	彼に比べると私はまだまだだ。	그에 비해 나는 아직 멀었다.
～抜きには	～ぬきには	~빼고는	문법		彼抜きには考えられない。	그를 빼고는 생각할 수 없다.	努力抜きには成功しない。	노력 없이는 성공할 수 없다.
～と思うと	～とおもうと	~라고 생각하니	문법		明日休めると思うと嬉しい。	내일 쉴 수 있다고 생각하니 기쁘다.	会えると思うとわくわくする。	만날 수 있다고 생각하니 두근거린다.
～つもりでも	～つもりでも	~한 줄 알았지만	문법		分かったつもりでも違った。	안다고 생각했지만 달랐다.	できるつもりでも難しい。	할 수 있다고 생각했지만 어렵다.
～以上は	～いじょうは	~한 이상에는	문법		引き受けた以上はやり遂げる。	맡은 이상은 끝까지 한다.	約束した以上は守る。	약속한 이상은 지킨다.
～ずにはいられない	～ずにはいられない	~하지 않을 수 없다	문법		笑わずにはいられない。	웃지 않을 수 없다.	心配せずにはいられない。	걱정하지 않을 수 없다.
～まま	～まま	~한 채	문법		服を着たまま寝てしまった。	옷을 입은 채 잠들었다.	そのまま放置する。	그대로 방치한다.
～だろうと思う	～だろうとおもう	~일 것이라고 생각하다	문법		彼は来るだろうと思う。	그는 올 것이라고 생각한다.	きっとできるだろうと思う。	분명 할 수 있을 것이라고 생각한다.
～がきっかけだった	～がきっかけだった	~이 계기였다	문법		旅行がきっかけだった。	여행이 계기였다.	彼との出会いがきっかけだった。	그와의 만남이 계기였다.
～となる	～となる	~이 되다	문법		結果はこうとなる。	결과는 이렇게 된다.	責任は彼となる。	책임은 그가 된다.
～と比べて	～とくらべて	~에 비해	문법		昨日と比べて寒い。	어제에 비해 춥다.	彼と比べて若い。	그에 비해 어리다.
～に先立って	～にさきだって	~에 앞서	문법		会議に先立って打ち合わせをする。	회의에 앞서 협의를 한다.	発表に先立ってリハーサルをした。	발표에 앞서 리허설을 했다.
～せいで	～せいで	~탓에	문법		雨のせいで遅れた。	비 탓에 늦었다.	彼のせいで失敗した。	그의 탓에 실패했다.
～ながらも	～ながらも	~하면서도	문법		失敗しながらも前進する。	실패하면서도 전진한다.	遅れながらも到着した。	늦으면서도 도착했다.
～たらいいのか	～たらいいのか	~하면 좋을지	문법		どうしたらいいのか分からない。	어떻게 하면 좋을지 모르겠다.	何を言えばいいのか迷った。	무엇을 말하면 좋을지 망설였다.
～わりに	～わりに	~에 비해서	문법		年齢のわりに若く見える。	나이에 비해 어려 보인다.	値段のわりに美味しい。	가격에 비해 맛있다.
	それなりの	나름대로의	연체사	관용 표현	それなりの努力は必要だ。	나름대로의 노력은 필요하다.	それなりの理由がある。	나름대로의 이유가 있다.
～かねない	～かねない	~할 수도 있다	문법		失敗しかねない。	실패할 수도 있다.	事故になりかねない。	사고로 이어질 수도 있다.
～について	～について	~에 대하여	문법		この問題について話し合う。	이 문제에 대해 논의한다.	日本文化について学ぶ。	일본 문화에 대해 배운다.
～と	～と	~하면, ~라면하면, ~라면	문법		ボタンを押すと開く。	버튼을 누르면 열린다.	君が来ると安心する。	네가 오면 안심한다.
～にもなったような	～にもなったような	~라도 된 것 같은	문법		大臣にもなったような気分だ。	장관이 된 듯한 기분이다.	セレブにもなったような態度だ。	셀럽이라도 된 것 같은 태도다.
～を込めて	～をこめて	~을 담아	문법		感謝を込めてプレゼントを贈った。	감사를 담아 선물을 주었다.	祈りを込めて手紙を書いた。	기도를 담아 편지를 썼다.
～わけだ	～わけだ	~인 것이다	문법		難しいわけだ。	어려운 것이다.	彼が遅れたわけだ。	그가 늦은 것이다.
～に関して	～にかんして	~에 관해서	문법		この件に関して説明する。	이 건에 관해 설명한다.	新しい計画に関して話し合う。	새 계획에 관해 논의한다.
～ならば	～ならば	~이라면	문법		君ならばできる。	너라면 할 수 있다.	私ならば断る。	나라면 거절한다.
～ないのではない	～ないのではない	~할 수 없는 것은 아니다	문법		できないのではない、しないだけだ。	할 수 없는 것이 아니라 안 할 뿐이다.	行けないのではない、行かないだけだ。	갈 수 없는 게 아니라 안 가는 것뿐이다.
